0	1
spam	u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324 helpline 08706091795
ham	call me when you/carlos is/are here my phones vibrate is acting up and i might not hear texts
ham	idc get over here you are not weaseling your way out of this shit twice in a row
ham	beerage
ham	dont think so it turns off like randomlly within 5min of opening
ham	all e best 4 ur driving tmr :
ham	he has lots of used ones babe but the model doesnt help youi have to bring it over and hell match it up
ham	also are you bringing galileo or dobby
spam	urgent call 09066350750 from your landline your complimentary 4 ibiza holiday or 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18 
ham	my stomach has been thru so much trauma i swear i just cant eat i better lose weight
ham	yeah theres barely enough room for the two of us x has too many fucking shoes sorry man see you later
spam	todays offer claim ur £150 worth of discount vouchers text yes to 85023 now savamob member offers mobile t cs 08717898035 £300 sub 16  unsub reply x
spam	hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r
ham	hope you are having a good week just checking in
ham	were all getting worried over here derek and taylor have already assumed the worst
ham	my love  how come it took you so long to leave for zahers i got your words on ym and was happy to see them but was sad you had left i miss you
ham	on ma way to school can you pls send me ashleys number
ham	it shall be fine i have avalarr now will hollalater
spam	urgent call 09061749602 from landline your complimentary 4 tenerife holiday or £10000 cash await collection sae tcs box 528 hp20 1yf 150ppm 18
ham	is that what time you want me to come
ham	awesome lemme know whenever youre around
ham	also remember to get dobbys bowl from your car
ham	welp apparently he retired
ham	are you this much buzy
ham	or better still can you catch her and let ask her if she can sell  ltgt  for me
ham	i am not sure about night menu   i know only about noon menu
ham	yar lor he wan 2 go c horse racing today mah so eat earlier lor i ate chicken rice u
ham	reckon need to be in town by eightish to walk from  carpark
ham	dearregret i cudnt pick calldrove down frm ctla now at cochin homeleft mobile in carente style ishtamayoohappy bakrid
ham	we still on for tonight
ham	lol you forgot it eh  yes ill bring it in babe
ham	its good well find a way
ham	oh mr sheffield you wanna play that game okay youre the boss and im the nanny you give me a raise and ill give you one
ham	zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog
ham	ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve
ham	wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem
spam	dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to 80062
ham	you busy or can i come by at some point and figure out what were doing tomorrow
ham	aiyah sorry lor i watch tv watch until i forgot 2 check my phone
spam	449050000301 you have won a £2000 price to claim call 09050000301
ham	u wake up already thanx 4 e tau sar piah its quite nice
spam	i dont know u and u dont know me send chat to 86688 now and lets find each other only 150p/msg rcvd hg/suite342/2lands/row/w1j6hl ldn 18 years or over
ham	ok help me ask if shes working tmr a not
ham	im not driving raining then ill get caught at e mrt station lor
ham	goodmorning today i am late for  ltgt min
ham	what he said is not the matter my mind saying some other matter is there
ham	neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt : ltgt
ham	thanks for understanding ive been trying to tell sura that
ham	the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p
ham	yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well
ham	that would be good … ill phone you tomo lunchtime shall i to organise something
ham	hope you are having a great new semester do wish you the very best you are made for greatness
ham	yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham	ok no wahala just remember that a friend in need 
ham	but if shes drinkin im ok
ham	heygreat dealfarm tour 9am to 5pm $95/pax $50 deposit by 16 may
ham	tell her i said eat shit
ham	ok be careful  dont text and drive 
ham	how abt making some of the pics bigger
ham	i wake up long ago already dunno what other thing
ham	aight sorry i take ten years to shower whats the plan
spam	free2day sexy st georges day pic of jordantxt pic to 89080 dont miss out then every wk a saucy celeb4 more pics c pocketbabecouk 0870241182716 £3/wk
ham	bugis oso near wat 
ham	if i start sending blackberry torch to nigeria will you find buyer for melike 4a month and tell dad not to buy bb from anyone oh
spam	bears pic nick and tom pete and  dick in fact all types try gay chat with photo upload call 08718730666 10p/min 2 stop texts call 08712460324
ham	ya tel wats ur problem
ham	i dnt wnt to tlk wid u
ham	hope ur head doesnt hurt 2 much  am ploughing my way through a pile of ironing  staying in with a chinky tonight come round if you like
ham	haha where got so fast lose weight thk muz go 4 a month den got effect geelater we go aust put bk e weight
ham	you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone
ham	cool we will have fun practicing making babies
ham	kkany special today
ham	wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
ham	yes now only saw your message
spam	free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk txt pod to 84128 tscs wwwtextpodnet custcare 08712405020
spam	as a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts
ham	u sleeping now or you going to take haha i got spys wat me online checking n replying mails lor
spam	you 07801543489 are guaranteed the latests nokia phone a 40gb ipod mp3 player or a £500 prize txt word:collect to no:83355 tcllc nyusa 150p/mt msgrcvd18
ham	oh u must have taken your real valentine out shopping first
ham	peteis this your phone still its jenny from college and leannewhat are you up to now:
ham	k:all the best:congrats
ham	check wid corect speling ie sarcasm
ham	hi:cts employee how are you
spam	you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg/suite342/2lands row/w1jhl 16
ham	wat r u doing
ham	dude just saw a parked car with its sunroof popped up sux
ham	whatever im pretty pissed off
ham	no:i got rumour that you going to buy apartment in chennai:
spam	sms auction  a brand new nokia 7250 is up 4 auction today auction is free 2 join  take part txt nokia to 86021 now hg/suite342/2lands row/w1j6hl
ham	sorry ill call later
ham	have you heard about that job im going to that wildlife talk again tonight if u want2come its that2worzels and a wizzle or whatever it is 
ham	ill probably be around mu a lot
ham	mm i had my food da from out
ham	friends that u can stay on fb chat with
ham	hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply
spam	0a$networks allow companies to bill for sms so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell b g
ham	alright were all set here text the man
ham	india have to take lead:
spam	hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx calls£1/minmobsmorelkpobox177hp51fl
ham	lmaonice 1
spam	urgent we are trying to contact u todays draw shows that you have won a £800 prize guaranteed call 09050001295 from land line claim a21 valid 12hrs only
ham	can come my room but cannot come my house cos my house still messy haha
ham	yun ahnow ü wkg wherebtw if ü go nus sc ü wana specialise in wad
ham	hows my loverboy doing  what does he do that keeps him from coming to his queen hmmm  doesnt he ache to speak to me  miss me desparately 
spam	hard live 121 chat just 60p/min choose your girl and connect live call 09094646899 now cheap chat uks biggest live service vu bcm1896wc1n3xx
ham	hi jon pete here ive bin 2 spain recently  hav sum dinero left bill said u or ur rents mayb interested in it i hav 12000pes so around £48 tb james
ham	lol yeah at this point i guess not
ham	k can that happen tonight
spam	hi this is mandy sullivan calling from hotmix fmyou are chosen to receive £500000 in our easter prize drawplease telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else
ham	i think were going to finns now come
ham	jus came back fr lunch wif my sis only u leh
ham	sorry im not free
ham	dont show yourself how far put new pictures up on facebook
ham	do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love
ham	arun can u transfr me d amt
ham	aiyo a bit pai seh ü noe scared he dun rem who i am then die hee but he become better lookin oredi leh
ham	hi its jess i dont know if you are at work but call me when u can im at home all eve xxx
ham	are you going to write ccna exam this week
ham	i couldnt say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night
ham	i have a rather prominent bite mark on my right cheek
ham	yeah i got a list with only u and joanna if im feeling really anti social
spam	free nokia or motorola with upto 12mths 1/2price linerental 500 free xnet mins100txt/mth free btooth call mobileupd8 on 08001950382 or call 2optout/d3wv
ham	they didt play one day last year know even though they have very good team like india
ham	i hate when she does this she turns what should be a fun shopping trip into an annoying day of how everything would look in her house
ham	uh heads up we dont have that much left
ham	ok
ham	oh ic i thought you meant mary jane
ham	kk:why cant you come here and search job:
spam	guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394973 from landline datebox1282essexcm61xn 150p/min 18
spam	themobyo yo yohere comes a new selection of hot downloads for our members to get for free just click  open the next link sent to ur fone
ham	ssindia going to draw the series after many years in south african soil
ham	beautiful truth against gravity read carefully: our heart feels light when someone is in it but it feels very heavy when someone leaves it goodmorning
spam	u can win £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs wwwldewcom skillgame1winaweek age16150ppermesssubscription
ham	ugh y cant u just apologize admit u were wrong and ask me to take u back
ham	is avatar supposed to have subtoitles
ham	okay i booked all already including the one at bugis
ham	hi where you you in home or calicut
ham	hey  i want you  i crave you  i miss you  i need you  i love you ahmad saeed al hallaq 
spam	eerie nokia tones 4u rply tone title to 8007 eg tone dracula to 8007 titles: ghost addamsfa munsters exorcist twilight wwwgetzedcouk pobox36504w45wq 150p 
ham	good night my dear sleepwellamptake care
spam	final chance claim ur £150 worth of discount vouchers today text yes to 85023 now savamob member offers mobile t cs savamob pobox84 m263uz £300 subs 16
ham	well done and  luv ya all 
ham	i dont have i shall buy one dear
ham	oh k :why you got job then whats up
ham	i know a few people i can hit up and fuck to the yes
ham	so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck
ham	congrats  treat pendingi am not on mail for 2 dayswill mail once thrurespect mother at homecheck mails
ham	 will have two more cartons off u and is very pleased with shelves
ham	nice talking to you please dont forget my pix : i want to see all of you
ham	alrite jod hows the revision goin keris bin doin a smidgin n e way u wanna cum over after collegexx
ham	those were my exact intentions
ham	den wat will e schedule b lk on sun
ham	just checked out heading out to drop off my stuff now
ham	it should take about  ltgt  min
ham	u know we watchin at lido
ham	hey there babe how u doin wot u up 2 2nite love annie x
ham	should i be stalking u
ham	long beach lor expected u having dinner now
ham	what happen to her tell the truth
ham	which is weird because i know i had it at one point
ham	its posible dnt live in  ltgt century cm frwd n thnk different
ham	but i dint slept in afternoon
spam	please call 08712402902 immediately as there is an urgent message waiting for you
ham	nohe joined today itself
ham	how are you doing hope youve settled in for the new school year just wishin you a gr8 day
ham	a boy loved a gal he propsd bt she didnt mind he gv lv lttrs bt her frnds threw thm again d boy decided 2 aproach d gal  dt time a truck was speeding towards d gal wn it was about 2 hit d girld boy ran like hell n saved her she asked hw cn u run so fast d boy replied boost is d secret of my energy n instantly d girl shouted our energy n thy lived happily 2gthr drinking boost evrydy moral of d story: i hv free msgs:d: gud ni8
ham	dunno lei he neva say
ham	i dont run away frm u i walk slowly amp it kills me that u dont care enough to stop me
ham	one of best dialogue in cute reltnship wen i die dont come near my body bcoz my hands may not come 2 wipe ur tears off that timegud ni8
ham	ok thanx gd nite 2 ü too
ham	o was not into fps then
ham	i not busy juz dun wan 2 go so early hee 
ham	he is world famamus
ham	aiyah e rain like quite big leh if drizzling i can at least run home
ham	ok
ham	ok i only ask abt e movie u wan ktv oso
ham	ok enjoy  r u there in home
ham	can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks
ham	yup but not studying surfing lor im in e lazy mode today
ham	oh fine ill be by tonight
spam	this message is brought to you by gmw ltd and is not connected to the
ham	some friends want me to drive em someplace probably take a while
ham	and maybe some pressies
ham	in sch but neva mind u eat 1st lor
ham	okie thanx
ham	as usualiam fine happy amp doing well:
ham	awesome text me when youre restocked
spam	free ring tone just text polys to 87131 then every week get a new tone 0870737910216yrs only £150/wk
ham	hey there glad u r better now i hear u treated urself to a digi cam is it good we r off at 9pm have a fab new year c u in coupla wks
ham	no way im going back there
ham	great i have to run now so ttyl
ham	 was a nice day and impressively i was sensible went home early and now feel fine or am i just boring whens yours i cant remember
spam	sports fans  get the latest sports news str 2 ur mobile 1 wk free plus a free tone txt sport on to 8007 wwwgetzedcouk 0870141701216 norm 4txt/120p 
ham	no but well do medical missions to nigeria
ham	whatsup there dont u want to sleep
ham	what time i‘m out until prob 3 or so
ham	send me your id and password
spam	for ur chance to win a £250 cash every wk txt: action to 80608 tscs wwwmovietriviatv custcare 08712405022 1x150p/wk
ham	then its most likely called mittelschmertz google it if you dont have paracetamol dont worry it will go
ham	yeah get the unlimited
ham	when you are big| god will bring success
ham	how will i creep on you now _
ham	i think its all still in my car
spam	december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906 
ham	some are lasting as much as 2 hours you might get lucky
spam	romcapspam everyone around should be responding well to your presence since you are so warm and outgoing you are bringing in a real breath of sunshine
ham	thanx 4 sending me home
ham	u sick still can go shopping
ham	tunji hows the queen how are you doing this is just wishing you a great day abiola
ham	your gonna be the death if me im gonna leave a note that says its all robs fault avenge me
ham	in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni8
ham	do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love
ham	twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
ham	u still painting ur wall
ham	anything lor is she coming
ham	aight i should be there by 8 at the latest probably closer to 7 are jay and tyler down or should we just do two trips
ham	bill as in: are there any letters for me i’m expecting one from orange that isn’t a bill but may still say orange on it
ham	at bruce b downs amp fletcher now
ham	you dont know you jabo me abi
ham	dont worry  is easy once have ingredients
ham	i love u 2 my little pocy bell i am sorry but i love u
ham	do you still have the grinder
ham	they released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear
ham	also hi wesley howve you been
ham	am in film ill call you later
ham	rajipls do me a favour pls convey my birthday wishes to nimya pls today is her birthday
ham	what happened to our yo date
ham	dear all as we know  ltgt th is the  ltgt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more details
ham	ay wana meet on satü wkg on sat
ham	im now but have to wait till 2 for the bus to pick me
ham	am going to take bath ill place the key in window:
ham	yes watching footie but worried were going to blow it  phil neville
ham	uncle abbey happy new year abiola
ham	u coming 2 pick me
ham	ive been barred from all b and q stores for lifethis twat in orange dungerees came up to me and asked if i wanted decking so i got the first punch in
ham	is ur lecture over
ham	sorry  in meeting ill call you later
ham	yeah but which is worse for i
ham	i tagged my friends that you seemed to count as your friends
ham	how much did ur hdd casing cost
ham	mah b ill pick it up tomorrow
ham	in meeting da i will call you
ham	does cinema plus drink appeal tomo  is a fr thriller by director i like on at mac at 830
spam	this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 08712101358 now only 10p per min btnationalrate
ham	shes good how are you where r u working now
ham	whats ur pin
ham	me too baby i promise to treat you well i bet you will take good care of me
ham	wifehow she knew the time of murder exactly
ham	guess he wants alone time we could just show up and watch when they do
ham	yup im still having coffee wif my frens my fren drove shell give me a lift
ham	what happened in interview
ham	hey you around ive got enough for a half  the ten i owe you
ham	the gas station is like a block away from my house youll drive right by it since armenia ends at swann and you have to take howard
spam	todays voda numbers ending 5226 are selected to receive a 350 award if you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
ham	itll be tough but ill do what i have to
ham	im gonnamissu so muchi would say il send u a postcard buttheres aboutas much chance of merememberin asthere is ofsi not breakin his contract luv yaxx
ham	set a place for me in your heart and not in your mind as the mind easily forgets but the heart will always remember wish you happy valentines day
ham	but im surprised she still can guess right lor
spam	you are being contacted by our dating service by someone you know to find out who it is call from a land line 09050000928 pobox45w2tg150p
ham	i havent forgotten you i might have a couple bucks to send you tomorrow k i love ya too
ham	sorry ill call later
ham	ok not a problem will get them a taxi c ing  tomorrow and tuesday on tuesday think we r all going to the cinema 
ham	just finished missing you plenty
ham	k must book a not huh so going for yoga basic on sunday
spam	please call 08712402972 immediately as there is an urgent message waiting for you
ham	what r u cooking me for dinner
ham	yeah we wouldnt leave for an hour at least hows 4 sound
ham	beautiful truth against gravity read carefully: our heart feels light when someone is in it but it feels very heavy when someone leaves it goodmorning
ham	whats that coming over the hill is it a monster hope you have a great day things r going fine here busy though 
ham	only once then after ill obey all yours
ham	no she didnt i will search online and let you know
spam	do you want a new video phone 600 anytime any network mins 400 inclusive video calls and downloads 5 per week free deltomorrow call 08002888812 or reply now
ham	yes but i dont care cause i know its there
ham	friendship poem: dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni8
ham	have your lunch and come quickly and open the door:
spam	urgent we are trying to contact u todays draw shows that you have won a £800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only
ham	i got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  ltgt day return period ended
ham	im also came to room
ham	ok
ham	hi peteynoim ok just wanted 2 chat coz avent spoken 2 u 4 a long timehope ur doin alritehave good nit at js love ya amx
ham	so you think i should actually talk to him not call his boss in the morning i went to this place last year and he told me where i could go and get my car fixed cheaper he kept telling me today how much he hoped i would come back in how he always regretted not getting my number etc
ham	i not free today i haf 2 pick my parents up tonite
ham	what happen dear why you silent i am tensed
ham	lol ok ill try to send be warned sprint is dead slow youll prolly get it tomorrow
ham	i had it alreadysabarish asked me to go
ham	no da  vijay going to talk in jaya tv
ham	i sent your maga that money yesterday oh
ham	how much would it cost to hire a hitman
ham	i anything lor
ham	sorry ill call later
ham	i know you mood off today
ham	hey morning what you come to ask: pa
ham	pls come quick cant bare this
ham	me 2 babe i feel the same lets just 4get about itboth try cheer upnot fit soo muchxxlove u locaxx
ham	as per your request maangalyam alaipayuthe has been set as your callertune for all callers press 9 to copy your friends callertune
ham	hmm ill have to think about it ok youre forgiven d
ham	why i come in between you people
ham	well then you have a great weekend
ham	ok thanx take care then
ham	lol what happens in vegas stays in vegas
ham	hello hello hi lou sorry it took so long 2 reply i left mobile at friends in lancaster just got it bak neway im sorry i couldnt make ur bday 2 hun
ham	when did i use soc i use it only at home ü dunno how 2 type it in word ar
ham	dad says hurry the hell up
ham	s:but he had some luck2 catches put down:
ham	how i noe did ü specify da domain as nusstu ü still in sch
ham	okok okthenwhats ur todays plan
ham	sorry pa i dont knw who ru pa
ham	yeah why not is the gang all ready
ham	im in a movie collect car oredi
ham	old orchard near univ how about you
ham	hows the street where the end of library walk is
ham	buzz hey my love  i think of you and hope your day goes well did you sleep in  i miss you babe i long for the moment we are together againloving smile
ham	where are you call me
ham	pls dont restrict her from eating anythin she likes for the next two days
ham	please protect yourself from ethreats sib never asks for sensitive information like passwordsatm/sms pin thru email never share your password with anybody
spam	congratulations u can claim 2 vip row a tickets 2 c blu in concert in november or blu gift guaranteed call 09061104276 to claim tscs wwwsmsconet cost£375max 
ham	mmmm i cant wait to lick it
ham	im ok will do my part tomorrow
spam	win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions  chance to be the first among readers
ham	customer place i wil cal u sir
ham	happy or sad  one thing about past is its no more good morning ::
ham	no did you multimedia message them or email
ham	sorry sir i will call you tomorrow  senthilhsbc
ham	she left it very vague she just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place but checking online now and all places around usc are  ltgt  and up
ham	cab is availablethey pick up and drop at door steps
ham	unlimited texts limited minutes
ham	serious what like proper tongued her
ham	ard 530 lor i ok then message ü lor
ham	i wish i dont think its gonna snow that much but it will be more than those flurries we usually get that melt before they hit the ground eek we havent had snow since ltgt before i was even born
ham	until 545 lor ya can go 4 dinner together
ham	i got to video tape pple type in message lor u so free wan 2 help me hee cos i noe u wan 2 watch infernal affairs so ask u along asking shuhui oso
ham	did u turn on the heater the heater was on and set to ltgt degrees
spam	great new offer  double mins  double txt on best orange tariffs and get latest camera phones 4 free call mobileupd8 free on 08000839402 now or 2stoptxt tcs
ham	ceri u rebel sweet dreamz me little buddy c ya 2moro who needs blokes
spam	ringtoneking 84484
ham	r u in this continent
spam	bored housewives chat n date now 08717507711 btnational rate 10p/min only from landlines
ham	hes just gonna worry for nothing and he wont give you money its no use
spam	you will be receiving this weeks triple echo ringtone shortly enjoy it
ham	gran onlyfound out afew days agocusoon honi
ham	sorry vikky im watching olave mandara movie kano in trishul theatre wit my frnds
spam	you are chosen to receive a £350 award pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer
ham	how are you holding up
ham	what time do u get out
ham	ok i wont call or disturb any one i know all are avoiding me i am a burden for all
ham	was the actual exam harder than nbme
ham	a lot of this sickness thing going round take it easy hope u feel better soon lol
ham	no no i will check all rooms befor activities
ham	if u dun drive then how i go 2 sch
ham	do u hav any frnd by name ashwini in ur college
ham	jus finish my lunch on my way home lor i tot u dun wan 2 stay in sch today
spam	hot live fantasies call now 08707500020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call
spam	in the simpsons movie released in july 2007 name the band that died at the start of the film agreen day bblue day cred day send a b or c
ham	ü comin to fetch us oredi
ham	two teams waiting for some players
ham	swhrt how u deyhope ur ok tot about u 2daylove n misstake care
ham	i will come tomorrow di
ham	anything lor if they all go then i go lor
ham	my love  i hope your not doing anything drastic dont you dare sell your pc or your phone 
ham	sez hows u  de arab boy hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx
spam	show ur colours euro 2004 241 offer get an england flag  3lions tone on ur phone click on the following service message for info
ham	omg joanna is freaking me out shes looked thru all my friends to find photos of me and then shes asking about stuff on my myspace which i havent even logged on in like a year :/
spam	block breaker now comes in deluxe format with new features and great graphics from tmobile buy for just £5 by replying get bbdeluxe and take the challenge
ham	im glad you are following your dreams
ham	okay good no problem and thanx
ham	erm woodland avenue somewhere do you get the parish magazine his telephone number will be in there
ham	yup im free
ham	i cant speak bcaz mobile have problem i can listen you but you cannt listen my voice so i calls you later
ham	si will take mokka players only:
ham	dude got a haircut now its breezy up there
ham	also tell him i said happy birthday
ham	ü all write or wat
ham	you still around i could use a half8th
ham	great so should i send you my account number
ham	me fineabsolutly fine
spam	ur tonexs subscription has been renewed and you have been charged £450 you can choose 10 more polys this month wwwclubzedcouk billing msg
ham	thanks honey but still havent heard anything i will leave it a bit longer so not 2 crowd him and will try later  great advice thanks hope cardiff is still there
ham	sim watching it in live
ham	see you then were all christmassy here
ham	the greatest test of courage on earth is to bear defeat without losing heartgn tc
ham	so what did the bank say about the money
ham	merry christmas to u too annie
ham	he said i look pretty wif long hair wat but i thk hes cutting quite short 4 me leh
ham	cheers for callin babesozi culdnt talkbut i wannatell u details later wenwecan chat properly x
ham	much better now thanks lol
ham	we will meet soon princess ttyl
ham	man this bus is so so so slow i think youre gonna get there before me
ham	ok
spam	mobile club: choose any of the top quality items for your mobile 7cfca1a
ham	sorry i missed you babe i was up late and slept in i hope you enjoy your driving lesson boytoy i miss you too  teasing kiss
ham	sure whenever you show the fuck up gt:
spam	congrats 2 mobile 3g videophones r yours call 09061744553 now videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm
ham	that sucks so what do you got planned for your yo valentine i am your yo valentine arent i
ham	just got part nottingham  3 hrs 63miles good thing i love my man so much but only doing 40mph hey ho
ham	i am in hospital da  i will return home in evening
